rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,url2,url3,url4,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,how.sure,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology.n,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience
202,219067,9/9/2010 18:50,Complete,,,165.83.78.65,-122.2593,38.01,United States,Hercules,CA,94547,,,,FY101435,,I agree to participate,FY101435,,11,,,end,,,nonphoto,House Speaker,DNK,DA,,,,,No idea,Republican,,,,,,,percent,,,0,0,0,0,,,10,,,1,7,,6,1,5,,Liberal,,,Washington Post,,,,,,,,,,,,,,,,,,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,5,2,Democrat,,,Strong,,70,15,60,70,70,70,60,closed,Poland,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,4,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Ronald Reagan,,,0,0,5,5,5,0,5,0,28%,1%,5%,Branch B,,,,Increased,Remained the Same,Increased,Increased,8,8,0,7,6,Don't Know,,7,0,5,3,4,3,2,3,1,4,5
203,219072,9/9/2010 19:03,Complete,,,24.7.31.88,-122.0486,37.8983,United States,Walnut Creek,CA,,,,,FY101016,,I agree to participate,FY101016,,34,,,end,,,nonphoto,Nevada senator,,Cabinet Secretary,,,,,PM of Germany,Senate minority leader,,,,,,,percent,,,10,,,,,,6,,,1,5,3,7,3,5,,Liberal,,NY Times,,, Other ,SF Chronicle,CBS,,PBS,,,,,,,,,,,,NPR,,,,,,,,,,6,A lot,2,6,Democrat,,,Strong,,70,70,80,75,70,75,75,closed,[Erstwhile] Soviet Union,Don't Know,,,Question any person whom they suspect to be an illegal immigrant for their papers,5,Couldn’t Say,,Don't Know,,,0,0,0,0,0,0,0,50,20%,15%,25%,Branch A,Increased,Decreased,Increased,,,,,7,10,10,10,5,Don't Know,,10,3,5,3,3,4,5,2,2,2,5
204,219076,9/9/2010 19:01,Complete,,,99.31.165.103,-122.2193,37.795,United States,Oakland,CA,,,,,FY101781,,I agree to participate,FY101781,,35,,,start,7,8,photo,,,,,,,,,,,,,Don't Know,,Don't Know,regular,Don't Know,John Boehner,,,,,,,,,,1,7,4,3,1,5,,Moderate,,,,USA Today,,,,,PBS,,,,,,,,,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,3,A little,1,2,Democrat,,,Not very strong,,40,50,70,75,70,75,40,open,,,germany,heart disease,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Ronald Reagan,Does not reimburse routine mammograms for women younger than 50,Limits future increases in payments to Medicare providers,,,,,,,,,28%,10%,60%,Branch A,Increased,Decreased,Increased,,,,,4,7,1,1,5,Don't Know,,,,5,6,7,3,3,4,3,5,5
205,219077,9/9/2010 19:02,Complete,,,98.247.85.153,-117.3793,47.6779,United States,Spokane,WA,,,,,FY101332,,I agree to participate,FY101332,,18,,,end,,,nonphoto,Senate Majority leader,Prez of France,Elefino,,,,,Chancellor of Germany,Supreme Idiot,,,,,,,regular,Robert Gates,,,,,,,,,,,1,6,2,6,1,5,,Liberal,,NY Times,,,,,,,PBS,,,,,,,,,,,,NPR,,, Others ,BBC,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A lot,6,3,Democrat,,,Not very strong,,60,20,80,70,60,60,60,open,,,Russians,Cancer,Question any person whom they suspect to be an illegal immigrant for their papers,5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Ronald Reagan,Does not reimburse routine mammograms for women younger than 50,,,,,,,,,,20%,1%,15%,Branch A,Increased,Decreased,Increased,,,,,7,10,10,10,7,Democrats,,8,0,5,5,2,5,4,2,2,2,6
206,219081,9/9/2010 19:16,Complete,,,147.154.235.57,-79.9794,40.4456,United States,Pittsburgh,PA,,,,,FY101341,,I agree to participate,FY101341,,18,,,end,,,photo,,,,US  Senator,Sect of Homeland Security,President's Chief of Staff,,,,US Senator ???,??? German Chancellor ???,,,,,percent,,,8,,,,,,9,,,7,6,1,2,2,7,,Conservative,,,,USA Today, Other ,Pittsburgh Post-Gazette,,,,,,,,Fox News,,,,,,,NPR,Rush Limbaugh,Michael Savage,,,,,,,,6,A lot,2,4,Republican,,Not very strong,,,40,70,15,85,40,85,0,open,,,Japan,Heart Disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Don't Know,,,8,0,0,0,10,0,0,0,30%,50%,60%,Branch A,Remained the Same,Decreased,Increased,,,,,6,10,5,1,6,Republicans,,0,10,2,7,3,3,2,5,5,3,6
207,219095,9/9/2010 19:21,Complete,,,76.19.176.207,-73.2074,44.396,United States,Shelburne,VT,5482,,,,FY101649,,I agree to participate,FY101649,,27,,,start,9,0,nonphoto,Senator from Idaho,President of France,Secretary of Dept of Homeland Security,,,,,German Chancellor,Republican Senator Minority leader,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,2,7,1,6,3,5,,Slightly liberal,,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,A little,3,2,Democrat,,,Strong,,60,30,70,50,50,60,40,closed,[Erstwhile] Soviet Union,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Ronald Reagan,Increases the Medicare payroll tax for upper‐income Americans,Couldn't say,,,,,,,,,35%,5%,5%,Branch A,Increased,Decreased,Increased,,,,,5,10,10,8,10,Democrats,,,,2,6,4,4,5,2,4,2,6
208,219097,9/9/2010 20:00,Complete,,,74.197.243.138,-124.0502,40.8536,United States,Arcata,CA,,,,,FY101301,,I agree to participate,FY101301,,43,,,end,,,photo,,,,news person,FDA hed,Budget Director,,,,Secretary of Defense,,,Don't Know,,,percent,,,7,0,0,0,,0,0,0,0,1,7,3,6,3,5,,Liberal,,NY Times,,, Other ,SF Chronicle,,,PBS,,,,,,,,,,,,NPR,,,,,,,,,,0,,4,4,Democrat,,,Strong,,70,15,85,70,70,70,70,open,,,Japan,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",6,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,George W. Bush,,,0,0,,0,,0,6,2,10%,10%,35%,Branch B,,,,Increased,Decreased,Increased,Increased,8,10,10,10,4,Democrats,,9,0,3,4,3,3,2,1,1,3,6
209,219098,9/9/2010 19:32,Complete,,,24.20.107.4,-122.4716,45.6741,United States,Vancouver,WA,98682,,,,FY101513,,I agree to participate,FY101513,,57,,,start,0,6,nonphoto,"Senator, Majority Leader","President, France",U.S. Secretary of Homeland Security,,,,,German Chancellor,U.S. Senate Minority Leader,,,,,,,percent,,,10,,,,,,10,,,6,6,1,4,4,7,,Slightly conservative,Wall Street Journal,NY Times,,, Other ,Columbian,CBS,,,NBC,,,,Fox News,MSNBC,,, Others ,,NW News Channel,NPR,,,,,,,,,,7,A great deal,7,3,Republican,,Strong,,,70,85,30,85,85,85,40,open,,,Japan,cancer,Deny aid to known illegal immigrants,5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Jimmy Carter,,,0,0,10,10,10,0,10,10,20%,20%,20%,Branch A,Decreased,Increased,Increased,,,,,9,10,10,10,10,Republicans,,,,3,4,4,4,2,4,4,4,4
210,219103,9/9/2010 19:37,Complete,,,68.251.39.175,-87.6744,41.8675,United States,Chicago,IL,,,,,FY101281,,I agree to participate,FY101281,,18,,,start,8,1,nonphoto,majority leader,,,,,,,,,,,Chancellor of Germany,,Don't Know,,percent,,,8,,,,,0,0,0,0,1,7,4,4,2,6,,Liberal,Wall Street Journal,NY Times,Washington Post,, Other ,Whatever Google News shows,,,,,Other,,They Daily Show,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A moderate amount,1,2,Democrat,,,Strong,,,0,60,,,100,30,open,,,Poland??,Heart disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,3,Don't Know,,,0,0,5,0,0,5,5,5,27%,1%,10%,Branch A,Don't Know,Decreased,Increased,,,,,8,9,3,7,1,Democrats,,,,3,4,5,2,1,2,2,2,6
211,219105,9/9/2010 19:37,Complete,,,67.169.84.209,-121.6293,36.6859,United States,Salinas,CA,,,,,FY101200,,I agree to participate,FY101200,,13,,,end,,,photo,,,,senator,attorney general,fbi chief,,,,minority whip,hhs secretary,,,,,percent,,,2,1,2,1,,1,1,2,1,4,7,1,4,1,7,,Moderate,,,,, Other ,slashdot,,,,,Other,,no tv,,,,, Others ,,no tv,,,, Others ,"kcbs, kgo, ksfo",,,,Other,whatever people email or post to facebook,0,A great deal,3,2,Other,Libertarian,,,,40,30,50,50,50,70,35,closed,Couldn't say,Heart Disease,,,Don’t Know,,Couldn’t Say,,Don't Know,,,7,5,6,5,4,6,8,6,25%,25%,20%,Branch B,,,,Increased,Remained the Same,Increased,Increased,2,10,2,2,1,Other,Libertarians,2,1,6,5,7,5,7,2,4,3,6
212,219107,9/9/2010 19:35,Complete,,,24.5.219.2,-121.6384,37.6385,United States,Livermore,CA,,,,,FY101390,,I agree to participate,FY101390,,11,,,end,,,nonphoto,Senate Majority Leader,French President,Homeland Security Secretary,,,,,German Chancellor,Republican whip,,,,,,,percent,,,10,,,,,,10,,,1,5,1,5,2,5,,Liberal,,NY Times,,, Other ,"sfgate, cnn, bbc, le monde",,,,,,,,,MSNBC,,,,CNN,,NPR,,,,,,,,,,7,A moderate amount,3,3,Democrat,,,Not very strong,,50,30,70,50,50,50,50,closed,[Erstwhile] Soviet Union,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",5,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Jimmy Carter,,,6,5,2,3,0,0,10,0,20%,3%,7%,Branch A,Increased,Decreased,Increased,,,,,7,10,3,5,4,Democrats,,7,0,3,3,5,5,1,2,1,4,6
213,219108,9/9/2010 19:44,Complete,,,96.255.148.5,-77.1159,38.9543,United States,Bethesda,MD,20816,,,,FY101204,,I agree to participate,FY101204,,56,,,end,,,nonphoto,Speaker of the House,,Attorney General,,,,,,,,,Chancellor of Germany,,Senate Minority Leader,,regular,Don't Know,Couldn't Say,,,,,,,,,,1,6,2,5,2,6,,Liberal,,,Washington Post,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,,6,2,Democrat,,,Strong,,85,15,70,85,85,85,60,closed,[Erstwhile] Soviet Union,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",2,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Don't Know,Increases the Medicare payroll tax for upper‐income Americans,Couldn't say,,,,,,,,,33%,2%,8%,Branch B,,,,Increased,Decreased,Increased,Increased,7,10,5,9,4,Democrats,,7,1,2,6,6,4,5,2,2,2,6
214,219111,9/9/2010 19:42,Complete,,,76.94.45.234,-118.5484,34.0797,United States,Pacific Palisades,CA,90272,,,,FY101636,,I agree to participate,FY101636,,8,,,end,,,photo,,,,,,,,,,,,,Chancellor of Germany,,Don't Know,percent,,,5,0,0,0,,0,0,0,5,3,7,1,4,1,4,,Slightly liberal,,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,A little,4,5,Democrat,,,Not very strong,,100,15,85,100,100,100,70,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Don't Know,,,3,0,3,3,0,0,9,1,40%,10%,20%,Branch B,,,,Increased,Increased,Increased,Increased,7,7,0,0,0,Don't Know,,7,0,2,2,7,6,7,2,2,2,6
215,219112,9/9/2010 19:42,Complete,,,209.112.197.239,-149.8444,61.1692,United States,Anchorage,AK,,,,,FY101143,,I agree to participate,FY101143,,19,,,end,,,photo,,,,,,,,,,,,,Don't Know,,Don't Know,regular,Don't Know,Couldn't Say,,,,,,,,,,1,7,3,6,2,4,,Liberal,,,,, Other ,Anchorage Daily News,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,A moderate amount,5,4,Democrat,,,Strong,,60,15,60,50,65,50,55,open,,,Russia,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,6,Bill Clinton,Does not reimburse routine mammograms for women younger than 50,Cuts benefits to existing Medicare patients,,,,,,,,,23%,2%,35%,Branch B,,,,Increased,Decreased,Increased,Increased,8,10,10,10,10,Don't Know,,9,0,4,3,5,3,4,2,2,2,7
216,219118,9/9/2010 19:57,Complete,,,66.108.226.210,-73.9813,40.7769,United States,New York,NY,10023,,,,FY101561,,I agree to participate,FY101561,,30,,,start,5,0,nonphoto,Congressman from Nevada,President of France,Obama Cabinet Member,,,,,Nothing.  She had been Germany's President ,US Senator,,,,,,,percent,,,,5,,,,,10,,,2,6,2,5,2,5,,Slightly liberal,,NY Times,,,,,,,,,,,,,,,,,CNN,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,3,A moderate amount,1,,Independent,,,,Closer to Democratic Party,85,50,60,80,80,80,50,open,,,the US?,heart disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Ronald Reagan,,,0,9,5,5,0,0,8,0,20%,2%,5%,Branch B,,,,Increased,Increased,Increased,Increased,7,5,0,7,5,Don't Know,,,,5,3,5,4,3,2,1,4,6
217,219124,9/9/2010 20:06,Complete,,,65.46.17.10,-117.7597,33.7081,United States,Irvine,CA,92620,,,,FY101660,,I agree to participate,FY101660,,15,,,end,,,nonphoto,Senator,,,,,,,,,,,Don't Know,,Don't Know,,regular,Don't Know,Couldn't Say,,,,,,,,,,5,6,1,4,4,7,,Conservative,Wall Street Journal,,,,,,CBS,Fox,,NBC,,ABC,,Fox News,,,BBC,,,,NPR,Rush Limbaugh,,,,,,,,,5,A moderate amount,1,5,Republican,,Strong,,,60,60,15,60,60,60,40,open,,,Russia,heart attack,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Bill Clinton,Couldn't say,Couldn't say,,,,,,,,,30%,15%,25%,Branch B,,,,Decreased,Decreased,Increased,Increased,6,10,5,10,6,Republicans,,3,8,2,5,4,2,2,2,2,6,4
218,219129,9/9/2010 20:01,Complete,,,67.148.103.2,-122.3422,47.6344,United States,Seattle,WA,98109,,,,FY101294,,I agree to participate,FY101294,,48,,,end,,,nonphoto,Senator from Nevada--may not be currently,I do not know,Attorney general,,,,,I do not know,I do not know,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,,6,7,1,2,2,5,,Conservative,Wall Street Journal,,Washington Post,USA Today, Other ,Yahoo news links to above sources,,Fox,,,Other,ABC,Yahoo news links to above,Fox News,,,BBC,,CNN,,NPR,,, Others ,"I can't think of his name right now, but demos hate him",,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A lot,5,2,Republican,,Strong,,,70,70,30,85,85,100,30,open,,,Russia,heart disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,George W. Bush,Couldn't say,Cuts benefits to existing Medicare patients,,,,,,,,,30%,20%,40%,Branch A,Decreased,Increased,Remained the Same,,,,,6,10,0,7,7,Republicans,,0,10,3,6,6,3,1,4,4,4,4
219,219132,9/9/2010 20:01,Complete,,,71.76.1.9,-81.025,33.9849,United States,Columbia,SC,29201,,,,FY101767,,I agree to participate,FY101767,,14,,,start,10,0,photo,,,,Congress,Judge,Newscaster,,,,congress,politician,,,,,percent,,,0,0,0,10,,0,0,10,0,1,6,1,1,1,7,,Moderate,,NY Times,,,,,,,,NBC,,,,,,,,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,2,A moderate amount,4,3,Democrat,,,Not very strong,,70,30,60,70,70,70,0,open,,,England,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",7,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,George H. Bush,,,10,10,0,10,10,0,10,10,20%,45%,70%,Branch A,Increased,Decreased,Increased,,,,,5,10,0,5,5,Democrats,,,,7,7,5,3,2,7,1,1,7
220,219133,9/9/2010 20:20,Complete,,,97.50.56.96,-97,38,United States,,,,,,,FY101517,,I agree to participate,FY101517,,58,,,start,1,8,photo,,,,,,,,,,,,,Chancellor of Germany,,Don't Know,regular,Don't Know,Couldn't Say,,,,,,,,,,6,7,1,4,2,7,,Slightly conservative,,,,, Other ,local daily paper,,,,,,,,,,,,,,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,1,A moderate amount,3,7,Independent,,,,Closer to Republican Party,90,60,15,90,90,90,0,open,,,germany,heart disease or domestic violence stress,Deny aid to known illegal immigrants,6,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Bill Clinton,Provides coverage for people who are currently in the country illegally,Allows a government panel to make decisions about end‐of‐life care for people on Medicare,,,,,,,,,17%,25%,15%,Branch B,,,,Increased,Increased,Increased,Increased,7,10,1,2,2,Republicans,,,,3,6,6,2,1,3,3,3,5
221,219138,9/9/2010 20:11,Complete,,,64.38.156.165,-122.3326,47.5951,United States,Seattle,WA,,,,,FY101509,,I agree to participate,FY101509,,189,,,end,,,photo,,,,Senator,Local politician,Politician from Overseas,,,,Congressman,Governor,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,3,6,3,5,2,4,,Slightly liberal,,,,, Other ,Seattle Times,,,PBS,NBC,,ABC,,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,1,A little,1,5,Democrat,,,Strong,,60,15,70,70,70,100,60,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,Couldn't say,Couldn't say,,,,,,,,,18%,5%,25%,Branch A,Increased,Decreased,Increased,,,,,3,10,0,8,8,Democrats,,6,0,2,6,6,4,2,3,3,3,5
240,219240,9/9/2010 21:59,Complete,,,67.176.58.42,-105.2647,40.0174,United States,Boulder,CO,,,,,FY101286,,I agree to participate,FY101286,,44,,,start,8,2,nonphoto,Senate Majority Leader,President of France,Homeland Security,,,,,Chancellor of Germany,Senate Minority Leader,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,1,7,3,5,2,7,,Slightly liberal,,,,USA Today, Other ,Denver Post,CBS,,,NBC,,,,,MSNBC,,,,CNN,,NPR,,,,,,,,,,6,A lot,4,5,Independent,,,,Closer to Democratic Party,50,15,60,50,50,70,40,open,,,Russia,Heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",3,Can  ask anyone they suspect of being an illegal immigrant for their papers,6,Don't Know,Couldn't say,Limits future increases in payments to Medicare providers,,,,,,,,,30%,1%,15%,Branch A,Increased,Decreased,Increased,,,,,8,10,5,3,3,Republicans,,,,4,5,5,4,5,5,3,4,5
241,219244,9/9/2010 22:06,Complete,,,24.187.98.20,-74.0076,40.2122,United States,Ocean Grove,NJ,7756,,,,FY101639,,I agree to participate,FY101639,,41,,,start,10,0,nonphoto,Majority Leader of the Senate,President of France,Homeland Security Dept. head,,,,,German Chancellor,Senate minority leader,,,,,,,percent,,,10,,,,,,10,,,1,7,2,6,2,6,,Liberal,Wall Street Journal,NY Times,Washington Post,,,,,,PBS,,,,,,,,,,,,NPR,,,,,Huffington Post,,,,,1,A great deal,,7,Democrat,,,Strong,,85,10,85,85,85,85,75,closed,[Erstwhile] Soviet Union,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,5,Can  ask anyone they suspect of being an illegal immigrant for their papers,10,Bill Clinton,,,0,0,0,0,0,0,0,0,30%,2%,20%,Branch A,Increased,Decreased,Increased,,,,,8,10,8,8,8,Democrats,,,,6,2,2,4,2,3,3,4,5
242,219247,9/9/2010 22:02,Complete,,,69.203.84.3,-73.9862,40.7662,United States,New York,NY,10019,,,,FY101711,,I agree to participate,FY101711,,14,,,end,,,photo,,,,senator,judge,secret service,,,,judge,governor,,,,,percent,,,0,0,0,0,,0,0,0,0,2,7,3,4,2,5,,Slightly conservative,,NY Times,,,,,,,,,,,,,,,,,,,,,,,,Huffington Post,,,,,0,A little,1,6,Democrat,,,Not very strong,,50,50,50,50,40,50,40,closed,United Kingdom,Breast Cancer,,,Deny aid to known illegal immigrants,3,Can  ask anyone they suspect of being an illegal immigrant for their papers,3,George W. Bush,,,5,8,4,6,5,6,7,4,35%,20%,50%,Branch A,Increased,Decreased,Increased,,,,,3,4,7,2,2,Democrats,,5,5,2,6,6,5,6,3,2,6,5
243,219249,9/9/2010 22:10,Complete,,,74.178.138.104,-85.6918,38.2085,United States,Louisville,KY,,,,,FY101322,,I agree to participate,FY101322,,36,,,end,,,nonphoto,,,senate,,,,,,"Senate leader, KY senator",,,Don't Know,,,,regular,Don't Know,Couldn't Say,,,,,,,,,,2,7,1,5,2,6,,Slightly liberal,,,,, Other ,"Courier-Journal (Louisville, KY)",,,,,Other,,BBC News on PBS,,,,,,,,,,,,,,,,,,0,A moderate amount,2,1,Democrat,,,Strong,,85,40,85,85,85,85,45,open,,,Japan,Heart Disease,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,Couldn't say,Couldn't say,,,,,,,,,15%,5%,25%,Branch B,,,,Increased,Remained the Same,Increased,Increased,2,10,0,5,4,Don't Know,,6,3,2,6,4,2,2,3,3,4,4
244,219252,9/9/2010 22:12,Complete,,,75.24.208.228,-122.271,37.8781,United States,Berkeley,CA,,,,,FY101449,,I agree to participate,FY101449,,40,,,start,0,10,photo,,,,Senate majority leader,NeoplolitanoSecty of defense,,,,,Republican Chied,Secty of State?,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,7,7,,7,7,,,Slightly conservative,Wall Street Journal,,,, Other ,Internet,,Fox,PBS,,,,,,,,,,CNN,,,Rush Limbaugh,,,,,Drudge Report,,,,7,A great deal,1,5,Independent,,,,Closer to Republican Party,100,50,30,50,100,100,25,closed,[Erstwhile] Soviet Union,Unintentional injuries,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",0,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Don't Know,Does not reimburse routine mammograms for women younger than 50,Cuts benefits to existing Medicare patients,,,,,,,,,35%,75%,40%,Branch B,,,,Increased,Remained the Same,Increased,Increased,10,10,5,2,8,Republicans,,,,5,5,7,4,4,1,1,6,7
245,219268,9/9/2010 22:48,Complete,,,72.66.105.48,-77.0969,38.8865,United States,Arlington,VA,22201,,,,FY101775,,I agree to participate,FY101775,,35,,,end,,,nonphoto,Senator,President of France,Homeland Security Chief,,,,,German Chancelor,Senator,,,,,,,percent,,,7,0,2,0,,0,0,0,0,5,6,2,3,2,5,,Slightly conservative,,,,, Other ,"Seattle Times, Daily Oklahoman, Tacoma News Tribune",,,,,,ABC,,,MSNBC,,,,CNN,,,,,,,,,,,,5,A lot,4,7,Republican,,Not very strong,,,70,60,30,70,70,70,40,open,,,Germany or the US,Cancer or Heart Disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Don't Know,,,3,7,7,5,2,2,5,3,35%,30%,65%,Branch B,,,,Increased,Decreased,Increased,Increased,8,10,1,5,7,Republicans,,3,5,4,4,5,3,3,4,4,3,4
246,219271,9/9/2010 22:39,Complete,,,64.12.116.196,-97,38,United States,,,,,,,FY101303,,I agree to participate,FY101303,,25,,,end,,,nonphoto,"Majority Head, US Senate","President, France","Director, Homeland Security",,,,,President of Germany,"Committee Chair, House of Rep",,,,,,,percent,,,10,0,0,,,0,10,0,0,6,6,1,5,3,7,,Slightly conservative,Wall Street Journal,NY Times,,, Other ,"Dallas News, LA Times",,Fox,PBS,NBC,,,,Fox News,MSNBC,,BBC, Others ,CNN,"CNNI, ",,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,"Pajamas Media, Stratfor, Political Bulletin",7,A lot,7,7,Independent,,,,Closer to Republican Party,80,85,65,80,75,90,40,open,,,Russia,Natural causes,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",8,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Bill Clinton,,,7,0,6,3,8,0,8,3,25%,30%,20%,Branch B,,,,Remained the Same,Decreased,Increased,Increased,8,10,7,10,2,Republicans,,1,9,3,4,6,5,3,2,2,3,5
247,219293,9/9/2010 23:21,Complete,,,75.36.205.247,-121.9764,37.8495,United States,Alamo,CA,94507,,,,FY101507,,I agree to participate,FY101507,,735,,,start,9,0,nonphoto,Senate majority leader,President of France,Secretary of Homeland Security,,,,,Chancellor of Germany,Senate minority leader,,,,,,,percent,,,10,0,0,0,,0,10,0,0,3,7,2,4,2,6,,Liberal,,NY Times,,, Other ,SF Chronicle,,,PBS,,,ABC,,,,,,,,,,,,,,,,,,,6,A lot,1,5,Democrat,,,Strong,,50,30,85,50,50,70,30,open,,,Soviet Union,Heart disease,Question any person whom they suspect to be an illegal immigrant for their papers,2,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Bill Clinton,,,0,0,5,7,0,0,0,8,20%,5%,10%,Branch B,,,,Increased,Decreased,Increased,Increased,9,10,2,2,3,Democrats,,,,2,6,2,1,1,3,3,4,6
