rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,obama,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience,sex,year.born,educ.s,income,religion,religion2,rel.freq,hispanic,white,black,native,asian,pacific,other.race,other.race2
25,252445,9/28/2010 19:16,Complete,,,171.66.113.205,-122.172,37.4178,United States,Stanford,CA,94305,srep0411,,I agree to participate,srep0411,,19,,,start,9,5,nonphoto,,President of France,Secretary of Education,,,,,Prime Minister of Germany,Senator,,,,,,,regular,Anthony Kennedy,Stephen Breyer,,,,,,,,,1,7,3,7,1,5,Liberal,,NY Times,,,,,,,,,Other,,none,,,,, Others ,,none,,,, Others ,none,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,Not at all,3,9,Democrat,,,Not very strong,,80,20,70,50,80,80,80,closed,Germany,Heart Disease,,,Decreased,,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,George W. Bush,Increases the Medicare payroll tax for upper‐income Americans,Replaces Medicare with a “public option”,,,,,,,,,15%,10%,5%,Branch A,Increased,Decreased,Increased,Remained the Same,,,,,4,0,0,0,0,Democrats,,,,1,4,6,3,4,3,3,3,6,Female,1951,"Bachelor's Degree, such as B.A., B.S., or A.B.","$95,000 ",Don’t belong to religious denomination,,Never,No,White,,,,,,
26,252446,9/28/2010 19:16,Complete,,,171.65.86.3,-122.172,37.4178,United States,Stanford,CA,94305,srep0213,,I agree to participate,srep0213,,15,,,start,10,0,photo,,,,,,,,,,,,,Chancellor of Germany,,Don't Know,regular,Don't Know,Stephen Breyer,,,,,,,,,2,7,1,7,1,6,Very liberal,,,,, Other ,San Jose mercury news,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,A little,1,1,Democrat,,,Strong,,60,30,85,85,85,85,85,open,,,Germany,breast cancer,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,3,Bill Clinton,Does not reimburse routine mammograms for women younger than 50,Couldn't say,,,,,,,,,20%,10%,20%,Branch A,Remained the Same,Decreased,Increased,Remained the Same,,,,,3,10,4,6,0,Don't Know,,,,4,3,5,4,7,4,1,6,7,Female,1955,"Bachelor's Degree, such as B.A., B.S., or A.B.",65000,Protestant,,Less often than a few times a year,No,,,,Asian,,,
27,252447,9/28/2010 19:18,Complete,,,171.64.194.247,-122.172,37.4178,United States,Stanford,CA,94305,srep0290,,I agree to participate,srep0290,,10,,,end,,,photo,,,,"Senate majority leader, Harry Reid",Homeland security head,President of France,,,,Mike McConnell is house minority leader,President of Germany,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,1,7,3,7,3,5,Slightly liberal,,NY Times,,, Other ,"Google News, SF Chronicle",CBS,,,NBC,,,,,,,,,CNN,,NPR,,, Others ,All news radio in San Francisco,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,National Geographic,5,A lot,7,4,Democrat,,,Strong,,,30,60,,,,,closed,[Erstwhile] Soviet Union,Unintentional injuries,,,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Bill Clinton,Couldn't say,Couldn't say,,,,,,,,,20%,5%,5%,Branch A,Increased,Decreased,Increased,Increased,,,,,9,10,10,5,10,Democrats,,8,0,2,6,5,4,4,3,3,3,7,Female,1957,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","200,000",Catholic,,A few times a year,No,White,,,,,,
31,252451,9/28/2010 19:19,Complete,,,209.11.184.1,-122.3124,37.5488,United States,San Mateo,CA,,srep0107,,I agree to participate,srep0107,,19,,,end,,,photo,,,,,,,,,,,,,Don't Know,,Don't Know,percent,,,50,,,,,,,25,7,7,1,1,1,7,Moderate,,,,, Other ,Mercury News - then vote the opposite way - they are extremely biased,,Fox,,,,ABC,,,,,,,,,NPR,,,,,,,,Other,Huffington - you've got to be kidding.  Ship her back where she came from,4,A moderate amount,1,1,Other,Libertarian,,,,50,0,0,50,25,0,0,closed,Germany,Breast Cancer,,,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Bill Clinton,,,5,0,5,5,0,0,7,0,20%,10%,5%,Branch B,,,,,Increased,Decreased,Increased,Increased,5,10,5,10,7,Other,neither of the above,5,10,4,7,4,4,4,4,7,3,5,Female,1947,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","160,000",Protestant,,Never,No,White,,American Indian or Alaska Native,,,,
34,252455,9/28/2010 19:25,Complete,,,171.65.21.113,-122.172,37.4178,United States,Stanford,CA,94305,srep0180,,I agree to participate,srep0180,,18,,,end,,,photo,,,,,,,,,,,,,Don't Know,,Don't Know,regular,Don't Know,Couldn't Say,,,,,,,,,4,6,2,7,2,6,Liberal,,,,,,,,,,,,,,,,,, Others ,,The Daily Show,,,,,,,,,,,2,A great deal,2,3,Independent,,,,Closer to Democratic Party,35,35,35,35,35,35,35,open,,,Russia,Heart disease,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Don't Know,Does not reimburse routine mammograms for women younger than 50,Limits future increases in payments to Medicare providers,,,,,,,,,35%,5%,10%,Branch B,,,,,Don't Know,Decreased,Increased,Remained the Same,2,10,8,10,8,Other,One party can't do it well alone,10,0,2,2,6,6,4,2,2,5,5,Male,1986,"Bachelor's Degree, such as B.A., B.S., or A.B.",40000,Other,Buddhism,Never,Yes,,,,,,Other,Mestizo
39,252462,9/28/2010 19:25,Complete,,,171.66.113.23,-122.172,37.4178,United States,Stanford,CA,94305,srep0110,,I agree to participate,srep0110,,14,,,end,,,nonphoto,Senate Majority Leader,President of France,Secretary of Homeland Security,,,,,Chancellor of Germany,Senate Minority Leader,,,,,,,regular,Robert Gates,Couldn't Say,,,,,,,,,7,7,1,7,2,7,Moderate,Wall Street Journal,NY Times,Washington Post,,,,,,,,,,,,,,, Others ,,"Daily Show with Jon Stewart, Colbert Report",,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,7,4,Republican,,Not very strong,,,100,30,30,100,100,100,100,closed,[Erstwhile] Soviet Union,Heart Disease,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,6,George H. Bush,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,35%,5%,25%,Branch A,Increased,Decreased,Increased,Increased,,,,,9,10,9,10,10,Other,Neither! The parties are in total disarray.,2,0,2,6,5,3,2,3,1,2,6,Female,1978,"Bachelor's Degree, such as B.A., B.S., or A.B.",132000,Protestant,,Once or twice a month,No,White,,,,,,
40,252466,9/28/2010 19:28,Complete,,,171.64.119.30,-122.172,37.4178,United States,Stanford,CA,94305,srep0419,,I agree to participate,srep0419,,104,,,end,,,nonphoto,Senate Majority Leader,President of France,Secretary of Homeland Security,,,,,President of Germany,Senate Minority Leader,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,7,7,3,1,4,6,Conservative,,,,,,,,,,,,,,,,,,,,,,,, Others ,"Armstrong & Getty, Brian Sussman",,,,Other,Ludwig von Mises Institute,0,A moderate amount,7,8,Other,Anarcho-Capitalist,,,,50,50,40,50,50,100,0,closed,[Erstwhile] Soviet Union,Breast Cancer,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Bill Clinton,Couldn't say,Couldn't say,,,,,,,,,40%,20%,30%,Branch B,,,,,Increased,Decreased,Increased,Increased,9,10,1,7,6,Other,Libertarian,0,10,5,3,5,2,2,3,3,3,5,Male,1959,Some College But No Degree,150000,Other,Jesusonian,Once a week,No,White,,,,,,
41,252467,9/28/2010 19:52,Complete,,,98.244.52.41,-121.6398,38.4829,United States,Davis,CA,,srep0205,,I agree to participate,srep0205,,25,,,start,8,2,nonphoto,Senate Majority Leader,French President,Secretary of Homeland Security,,,,,German Chancellor,Senate Minority Leader,,,,,,,percent,,,5,0,5,0,5,5,0,5,4,6,2,6,1,6,Slightly liberal,,NY Times,,, Other ,"Sacramento Bee, SF Chronicle",,,,,,,,,,,, Others ,,Daily Show (Comedy Central),NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,4,6,Democrat,,,Not very strong,,50,40,60,50,50,50,40,open,,,Soviet Union,Heart disease,Decreased,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Don't Know,,,7,3,6,4,5,1,6,4,25%,5%,20%,Branch A,Increased,Decreased,Increased,Remained the Same,,,,,6,10,1,3,5,Other,Libertarians,,,2,5,7,4,4,3,3,3,6,Female,1979,"Doctorate Degree, such as Ph.D., Ed.D.","125,000",Don’t belong to religious denomination,,Never,No,White,,,,,,
42,252471,9/28/2010 19:32,Complete,,,171.65.48.55,-122.172,37.4178,United States,Stanford,CA,94305,srep0160,,I agree to participate,srep0160,,26,,,start,2,2,photo,,,,"Seantor, Head of Democratic Party",Supreme Court Justice,Chief of Staff,,,,Senator,Congresswoman,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,5,7,1,4,2,7,Slightly conservative,Wall Street Journal,NY Times,,USA Today, Other ,SJ Mercury News,CBS,,,,,,,,,,,,CNN,,NPR,,, Others ,KGO,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,1,A moderate amount,2,8,Republican,,Not very strong,,,90,80,70,90,90,90,90,closed,[Erstwhile] Soviet Union,Heart Disease,,,Increased,,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Ronald Reagan,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,20%,7%,20%,Branch B,,,,,Increased,Decreased,Increased,Increased,7,10,1,5,7,Other,Libretarians,,,6,6,7,3,2,2,2,3,3,Female,1958,"Bachelor's Degree, such as B.A., B.S., or A.B.",85000,Protestant,,Once a week,No,,,,,,Other,Caucasion
43,252473,9/28/2010 19:49,Complete,,,128.12.62.16,-122.172,37.4178,United States,Stanford,CA,94305,srep0266,,I agree to participate,srep0266,,14,,,end,,,photo,,,,Senator,Supreme Court Justice,White House Official,,,,President Advisor ,President Advisor ,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,2,7,2,7,2,6,Liberal,,,,,,,,,,NBC,,ABC,,,,,,,,,NPR,,,,,,,,,,1,A little,1,2,Democrat,,,Strong,,60,15,85,85,50,70,70,open,,,Russia,Heart Attack,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Don't Know,Couldn't say,Couldn't say,,,,,,,,,30%,1%,3%,Branch A,Increased,Decreased,Increased,Remained the Same,,,,,7,10,1,1,2,Democrats,,7,1,2,6,5,3,5,3,2,2,6,Female,1985,"Bachelor's Degree, such as B.A., B.S., or A.B.",50000,Don’t belong to religious denomination,,Less often than a few times a year,No,White,,,,,,
44,252474,9/28/2010 19:45,Complete,,,171.65.37.57,-122.172,37.4178,United States,Stanford,CA,94305,srep0297,,I agree to participate,srep0297,,22,,,start,8,3,nonphoto,Senate Majority leader,President of France,Secretary of Homeland Security,,,,,,Senate Minority Leader,,,Chancellor of Germany,,,,percent,,,7,0,3,0,5,5,0,0,1,7,2,4,2,5,Slightly liberal,Wall Street Journal,NY Times,Washington Post,,,,,,PBS,,,,,,,,BBC,,CNN,,NPR,,,,,Huffington Post,Drudge Report,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,2,A moderate amount,3,2,Independent,,,,Closer to Democratic Party,90,40,60,90,90,90,80,closed,[Erstwhile] Soviet Union,Heart Disease,,,Increased,,Can  ask anyone they suspect of being an illegal immigrant for their papers,6,Don't Know,,,0,5,0,0,0,0,8,0,30%,2%,1%,Branch B,,,,,Increased,Decreased,Increased,Increased,3,8,0,0,0,Don't Know,,,,4,3,6,3,5,3,3,1,6,Female,1974,"Bachelor's Degree, such as B.A., B.S., or A.B.",160000,Don’t belong to religious denomination,,Never,Yes,White,,,,Native Hawaiian or Other Pacific Islander,Other,Cuban
45,252476,9/28/2010 19:40,Complete,,,134.79.82.84,-121.8569,37.3073,United States,San Jose,CA,,srep0188,,I agree to participate,srep0188,,12,,,end,,,nonphoto,,international leader,attorney general,,,,,,,,,Don't Know,,Don't Know,,percent,,,0,0,0,0,0,0,0,0,2,7,2,1,1,7,Slightly conservative,,,,, Other ,San Jose Mercury News,CBS,,,NBC,,,,,,,,,,,NPR,,,,,,,,,,2,A moderate amount,1,7,Democrat,,,Not very strong,,80,0,80,70,80,80,0,open,,,US,heart disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Don't Know,,,0,5,5,5,0,0,5,0,45%,20%,40%,Branch A,Increased,Decreased,Increased,Increased,,,,,3,10,1,8,6,Democrats,,10,10,2,6,4,3,2,3,2,6,6,Female,1960,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",140000,Catholic,,Never,No,White,,,,,,
46,252477,9/28/2010 19:55,Complete,,,171.67.81.130,-122.172,37.4178,United States,Stanford,CA,94305,srep0155,,I agree to participate,srep0155,,29,,,end,,,nonphoto,Senator,President of France,,,,,,German President,Senator,,,,,,,percent,,,99,0,0,0,100,0,0,0,1,6,2,7,1,4,Liberal,,NY Times,,, Other ,San Francisco Chronicle,CBS,,PBS,NBC,,ABC,,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,2,A little,0,8,Independent,,,,Closer to Democratic Party,100,15,70,100,100,100,85,closed,Poland,Heart Disease,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Don't Know,,,0,0,5,0,5,0,2,9,35%,5%,5%,Branch B,,,,,Increased,Remained the Same,Increased,Remained the Same,8,10,0,5,8,Democrats,,5,0,5,3,2,3,1,1,1,2,7,Female,1956,Some College But No Degree,"60,000",Don’t belong to religious denomination,,Never,No,White,,,,,,
48,252482,9/28/2010 19:35,Complete,,,171.67.132.98,-122.172,37.4178,United States,Stanford,CA,94305,srep0274,,I agree to participate,srep0274,,28,,,start,7,3,nonphoto,,French president,Homeland security?,,,,,Chancellor of Germany,,,,,,Don't Know,,percent,,,8,0,0,0,3,3,1,3,2,6,1,6,2,5,Liberal,,NY Times,,, Other ,"CNN, BBC, SFGate",,,,NBC,,ABC,,,,,,,CNN,,NPR,,,,,Huffington Post,,,,,1,A moderate amount,1,3,Democrat,,,Strong,,85,40,85,85,85,85,85,closed,Germany,Heart Disease,,,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,0,Don't Know,,,,,,,,,,,,,,Branch A,Don't Know,Don't Know,Don't Know,Don't Know,,,,,5,8,6,0,2,Don't Know,,,,6,2,4,2,5,4,2,6,6,Female,1981,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","46,000",Protestant,,Less often than a few times a year,No,White,,,,,,
49,252484,9/29/2010 0:07,Complete,,,171.66.108.180,-122.172,37.4178,United States,Stanford,CA,94305,srep0211,,I agree to participate,srep0211,,24,,,start, dk,7,photo,,,,Senator,,,,,,,,,Don't Know,,Don't Know,regular,Don't Know,Couldn't Say,,,,,,,,,3,6,1,2,2,6,Slightly conservative,,,,,,,,,,NBC,,,,,,,,,,,,,,,,,,,,,4,A moderate amount,2,7,Republican,,Not very strong,,,,,,,,,,open,,,Germany,Heart disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Don't Know,Does not reimburse routine mammograms for women younger than 50,Couldn't say,,,,,,,,,35%,40%,10%,Branch A,Decreased,Increased,Increased,Increased,,,,,2,8,6,7,7,Don't Know,,,,2,5,4,5,4,5,4,4,4,Female,1979,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",120000,Protestant,,Once or twice a month,No,White,,,,,,
50,252486,9/28/2010 19:59,Complete,,,171.64.238.62,-122.172,37.4178,United States,Stanford,CA,94305,srep0363,,I agree to participate,srep0363,,24,,,end,,,photo,,,,senator,treasurer,no idea,,,,representative,governor,,,,,percent,,,10,0,0,0,10,0,0,0,2,6,3,6,2,5,Very liberal,Wall Street Journal,NY Times,Washington Post,, Other ,"la times, sj mercury",CBS,,PBS,NBC,,ABC,,,MSNBC,,,,,,NPR,,,,,,,,,,2,A moderate amount,5,7,Independent,,,,Closer to Democratic Party,85,35,75,85,85,85,85,closed,[Erstwhile] Soviet Union,Heart Disease,,,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Bill Clinton,,,0,0,5,2,7,0,5,0,15%,8%,3%,Branch A,Increased,Increased,Increased,Remained the Same,,,,,7,10,9,10,10,Other,no one seems inclined,5,0,5,1,7,4,1,3,2,3,5,Female,1960,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",90000,Catholic,,Once a week,No,White,,,,,,
51,252487,9/28/2010 19:49,Complete,,,171.65.122.81,-122.172,37.4178,United States,Stanford,CA,94305,srep0267,,I agree to participate,srep0267,,13,,,start,8,1,photo,,,,Republican politician,California State Representative,French politician,,,,Senator,Senator,,,,,percent,,,0,0,0,0,0,5,0,0,1,3,7,6,2,6,Liberal,,,,, Other ,New Yorker (ocassionally),,,,,,,,,,,, Others ,,Comedy Central,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,Not at all,3,3,Other,no party,,,,85,30,70,50,85,100,85,open,,,USSR,Heart Attacks (coronary/artery disease),Increased,,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Bill Clinton,,,0,0,0,0,0,0,0,0,17%,1%,25%,Branch A,Increased,Decreased,Increased,Increased,,,,,3,10,2,2,6,Democrats,,,,5,3,6,4,4,1,3,3,4,Male,1972,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","42,000",Don’t belong to religious denomination,,Less often than a few times a year,No,,,,,,,
52,252490,9/28/2010 19:55,Complete,,,216.27.176.218,-122.2948,37.8895,United States,Albany,CA,94706,srep0349,,I agree to participate,srep0349,,12,,,start,8,0,nonphoto,senate majority leader,pres of france,Homeland security sec,,,,,german chancellor,senator (not sure which state),,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,1,7,2,7,2,4,Slightly liberal,,NY Times,Washington Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Not at all,7,5,Other,Non-committed,,,,90,40,50,40,90,90,90,closed,Poland,Lung Cancer,,,Increased,,Couldn’t Say,,Don't Know,Does not reimburse routine mammograms for women younger than 50,Limits future increases in payments to Medicare providers,,,,,,,,,35%,2%,35%,Branch B,,,,,Increased,Decreased,Increased,Increased,7,10,7,7,9,Don't Know,,,,2,4,4,4,2,4,2,4,4,Female,1956,"Doctorate Degree, such as Ph.D., Ed.D.",190000,Catholic,,More than once a week,No,,Black or African American,,,,,
53,252491,9/28/2010 19:50,Complete,,,171.64.222.37,-122.172,37.4178,United States,Stanford,CA,94305,srep0237,,I agree to participate,srep0237,,24,,,start,8,0,photo,,,,,,,,,,,german chancellor,,,,Don't Know,percent,,,5,0,5,0,0,0,0,0,1,7,2,5,1,7,Very liberal,,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,,2,1,Democrat,,,Strong,,85,30,85,85,85,100,30,open,,,US,heart disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Bill Clinton,,,0,0,7,2,7,0,7,7,25%,2%,25%,Branch B,,,,,Increased,Decreased,Increased,Increased,1,10,5,1,1,Don't Know,,,,2,6,2,2,2,5,4,5,2,Female,1959,"Bachelor's Degree, such as B.A., B.S., or A.B.","$250,000 ",Other,agnostic,Never,No,White,,,,,,
54,252492,9/28/2010 20:00,Complete,,,171.66.190.133,-122.172,37.4178,United States,Stanford,CA,94305,srep0137,,I agree to participate,srep0137,,1907,,,end,,,nonphoto,senator,President of France,in white house cabinet,,,,,,,,,Don't Know,,Governor of Mississippi,,regular,Don't Know,Couldn't Say,,,,,,,,,1,7,2,5,2,4,Liberal,,NY Times,,, Other ,headlines on my yahoo email,,,,,Other,,don't watch tv news much,,,,BBC,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,1,A moderate amount,2,6,Democrat,,,Not very strong,,75,35,75,75,70,70,50,closed,[Erstwhile] Soviet Union,Heart Disease,,,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,3,George W. Bush,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,35%,2%,8%,Branch A,Increased,Decreased,Increased,Remained the Same,,,,,5,6,2,4,7,Other,a coalition of both parties,7,1,5,5,6,4,4,4,3,5,5,Female,1960,"Bachelor's Degree, such as B.A., B.S., or A.B.",,Other,"raised christian: spiritual, but not religious",Less often than a few times a year,No,White,,American Indian or Alaska Native,,,,
56,252503,9/28/2010 20:01,Complete,,,171.67.225.141,-122.172,37.4178,United States,Stanford,CA,94305,srep0355,,I agree to participate,srep0355,,15,,,start,8,0,nonphoto,Senator from Nevada,President of France,Head of DHS,,,,,President of Germany,Senator (not sure which Southern state),,,,,,,percent,,,100,,,,,85,,,3,6,2,5,2,5,Slightly liberal,,,,, Other ,San Jose Mercury,CBS,,,NBC,,,,,,,,,CNN,,,,, Others ,KCBS,,,,Other,Flipboard,0,A moderate amount,3,2,Independent,,,,Closer to Democratic Party,50,30,40,50,50,50,50,open,,,Russia,Cancer,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,6,Don't Know,,,0,0,10,0,0,0,50,30,24%,5%,15%,Branch B,,,,,Increased,Decreased,Don't Know,Remained the Same,7,10,0,5,6,Don't Know,,,,3,5,6,3,4,5,3,4,5,Male,1965,"Bachelor's Degree, such as B.A., B.S., or A.B.",,Catholic,,Less often than a few times a year,No,White,,,,,,
57,252510,9/28/2010 20:29,Complete,,,171.64.36.207,-122.172,37.4178,United States,Stanford,CA,94305,srep0143,,I agree to participate,srep0143,,19,,,end,,,photo,,,,Senate Majority Leader,Secretary of Homeland Security,President of France ,,,,Senate Minority Leader,President of Germany,,,,,percent,,,10,0,0,0,0,10,0,0,1,7,1,4,1,5,Liberal,,NY Times,Washington Post,, Other ,SF Chroniccle,,,,NBC,,ABC,,,MSNBC,,,,CNN,,NPR,,, Others ,"KGO,KCBS",,,,Other,MSNBC,7,A great deal,7,2,Democrat,,,Strong,,80,15,80,80,80,80,50,open,,,Russia,Heart disease,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,,Ronald Reagan,,,0,0,10,0,0,0,10,10,30%,10%,8%,Branch A,Increased,Decreased,Increased,Increased,,,,,9,10,5,10,8,Don't Know,,10,0,3,6,3,2,2,3,3,3,5,Female,1955,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",,Other,"raised Catholic, not practicing",A few times a year,No,White,,,,,,
58,252512,9/28/2010 20:26,Complete,,,69.236.180.131,-121.9713,38.3836,United States,Vacaville,CA,,srep0315,,I agree to participate,srep0315,,77,,,start, dk, dk,nonphoto,Senator,President of France,Homeland Security,,,,,German government,No idea,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,3,7,1,2,1,7,Slightly conservative,,,,,,,,,,,,,,,,,BBC,,,,,,,,,,,,,,0,A moderate amount,0,,Republican,,Not very strong,,,,,,,,,,open,,,USSR,Heart disease,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,4,Don't Know,Couldn't say,Couldn't say,,,,,,,,,,,,Branch A,Don't Know,Decreased,Increased,Remained the Same,,,,,4,10,0,2,5,Republicans,,,,2,6,4,4,2,4,2,4,4,Female,1963,Some College But No Degree,,Don’t belong to religious denomination,,Never,No,White,,,,,,
59,252513,9/28/2010 20:14,Complete,,,171.64.200.65,-122.172,37.4178,United States,Stanford,CA,94305,srep0199,,I agree to participate,srep0199,,12,,,end,,,photo,,,,Senator,,,,,,Senator,Candidate for office,,,,,percent,,,90,,,,,90,,,1,7,5,6,2,5,Very liberal,,NY Times,,,,,,,,,,,,,,,, Others ,,Comedy Central,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,6,4,Democrat,,,Not very strong,,100,15,40,100,100,85,85,closed,[Erstwhile] Soviet Union,Heart Disease,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Bill Clinton,,,0,0,5,4,0,0,5,8,30%,5%,30%,Branch B,,,,,Increased,Decreased,Increased,Increased,6,10,10,10,7,Democrats,,7,0,,6,5,3,3,3,2,2,6,Female,1966,"Doctorate Degree, such as Ph.D., Ed.D.",160K Gross;  Net 110K,Protestant,,Once a week,No,White,,,,,,
60,252517,9/28/2010 20:13,Complete,,,24.6.158.227,-122.14,37.3622,United States,Los Altos,CA,94022,srep0369,,I agree to participate,srep0369,,9,,,start,6,1,nonphoto,Senate Majority leader,President of France,Secretary of ?,,,,,PM? of Germany,,,,,,Don't Know,,percent,,,6,2,2,0,2,2,2,4,2,7,2,4,2,7,Slightly liberal,Wall Street Journal,,,, Other ,Christian Science Monitor,,,,,,,,,,,,,,,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,Not at all,2,6,Democrat,,,Not very strong,,50,35,50,50,50,50,40,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Don't Know,,,0,6,5,3,2,0,5,6,45%,5%,8%,Branch B,,,,,Increased,Decreased,Increased,Remained the Same,3,8,0,2,3,Democrats,,,,,5,5,5,5,4,4,4,7,Female,1986,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",,Don’t belong to religious denomination,,A few times a year,No,,,,Asian,,,
