,misinfo,topic,polling_firm,sponsor,academic_comm,date,question,link,correct,leaning correct,incorrect,leaning incorrect,dk,not sure,refused_na,no opinion,undecided,misinformation,n_options,explicit_dk,explicit_ns,matter_of_opinion,n,mode,l_congenial_options,r_congenial_options,correct_valence ,prompt_type ,ire,footnotes
55,Y,ACA Death Panel,Princeton Survey Research Associates International,Kaiser Family Foundation,0,12/02-09/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・establish a government panel to make decisions about end-of-life care for people on Medicare?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge would AND  you AND  say AND  the AND  (2010) AND  health AND  reform AND  law AND  does or does&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=December 2-9, 2014&sample=1505&qstn_list=&qstnid=1857336&qa_list=&qstn_id4=1857336&study_list=&lastSearchId=317673059292&archno=USPSRA2014-HNI136&keywordDisplay=",41,0,41,0,19,0,0,0,0,,2,N,N,Y,"1,505",telephone,,,L,TBYK,N,Don't know/Refused (19%); landline(750)/cellular(755)
56,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,10/08-14/14,"To the best of your knowledge, would you say the (2010) health reform law does or does not provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  (2010) AND  health AND  reform AND  law AND  does or does not provide AND  financial AND  help AND  to AND  low and moderate AND  income AND  americans AND  who AND  don t get AND  insurance AND  through AND  their AND  jobs AND  to AND  hel&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=01-JAN-34&sample=1503&qstn_list=&qstnid=1865616&qa_list=&qstn_id4=1865616&study_list=&lastSearchId=317673059342&archno=&keywordDisplay=,54,0,31,0,16,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (16%); landline(751)/cellular(752)
57,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・gradually close the Medicare prescription drug 'doughnut hole' or 'coverage gap' so people on Medicare will no longer be required to pay the full cost of their medications when they reach the gap?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847819&qa_list=&qstn_id4=1847819&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI128&keywordDisplay=",40,0,34,0,26,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (26%); landline(753)/cellular(751)
58,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・eliminate out-of-pocket costs for many preventive services such as annual check-ups and cholesterol screenings?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847820&qa_list=&qstn_id4=1847820&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI128&keywordDisplay=",43,0,38,0,18,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (18%); landline(753)/cellular(751)
59,Y,ACA Illegal Imm.,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・allow undocumented immigrants to receive financial help from the government to buy health insurance?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847821&qa_list=&qstn_id4=1847821&study_list=&lastSearchId=317673066307&archno=USPSRA2014-HNI128&keywordDisplay=",32,0,46,0,22,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (22%); landline(753)/cellular(751)
60,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・allow young adults to stay on their parents' insurance plans until age 26?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847822&qa_list=&qstn_id4=1847822&study_list=&lastSearchId=317673066296&archno=USPSRA2014-HNI128&keywordDisplay=",71,0,18,0,11,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (11%); landline(753)/cellular(751)
61,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・increase the Medicare payroll tax on earnings for upper income Americans?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847823&qa_list=&qstn_id4=1847823&study_list=&lastSearchId=317673066285&archno=USPSRA2014-HNI128&keywordDisplay=",46,0,32,0,23,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (23%); landline(753)/cellular(751)
62,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・require insurance companies that spend too little money on health care services and too much on administrative costs and profits to give their customers a rebate?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847824&qa_list=&qstn_id4=1847824&study_list=&lastSearchId=317673066256&archno=USPSRA2014-HNI128&keywordDisplay=",44,0,37,0,19,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (19%); landline(753)/cellular(751)
63,Y,ACA Death Panel,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・establish a government panel to make decisions about end-of-life care for people on Medicare?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847825&qa_list=&qstn_id4=1847825&study_list=&lastSearchId=317673066245&archno=USPSRA2014-HNI128&keywordDisplay=",44,0,34,0,23,0,0,0,0,,3,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (23%)
64,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not. To the best of your knowledge, would you say the health reform law does or does not・require nearly all Americans to have health insurance or else pay a fine?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847815&qa_list=&qstn_id4=1847815&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI128&keywordDisplay=",78,0,15,0,7,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (7%); landline(753)/cellular(751)
65,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847816&qa_list=&qstn_id4=1847816&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI128&keywordDisplay=",60,0,25,0,15,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (15%); landline(753)/cellular(751)
66,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847817&qa_list=&qstn_id4=1847817&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI128&keywordDisplay=",63,0,28,0,9,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (9%); landline(753)/cellular(751)
67,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,03/11-17/14,"(I'm going to read you a list of specific elements or parts of the (2010 health care) law. For each, please tell me whether you think it is something the law does, or not.) To the best of your knowledge, would you say the health reform law does or does not・prohibit insurance companies from denying coverage because of a person's medical history?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=March 11-17, 2014&sample=1504&qstn_list=&qstnid=1847818&qa_list=&qstn_id4=1847818&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI128&keywordDisplay=",54,0,35,0,11,0,0,0,0,,2,N,N,Y,"1,504",telephone,,,L,TBYK,N,Don't know/Refused (11%); landline(753)/cellular(751)
68,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,01/14-21/14,"I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not. First, to the best of your knowledge, would you say the health reform law does or does not・require nearly all Americans to have health insurance or else pay a fine?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=January 14-21, 2014&sample=1506&qstn_list=&qstnid=1845974&qa_list=&qstn_id4=1845974&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI126&keywordDisplay=",81,0,15,0,4,0,0,0,0,,2,N,N,Y,"1,506",telephone,,,L,TBYK,N,Don't know/Refused (4%); landline(753)/cellular(753)
69,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not・give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=January 14-21, 2014&sample=1506&qstn_list=&qstnid=1845979&qa_list=&qstn_id4=1845979&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI126&keywordDisplay=",58,0,27,0,15,0,0,0,0,,2,N,N,Y,"1,506",telephone,,,L,TBYK,N,Don't know/Refused (15%); landline(753)/cellular(753)
70,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not・prohibit insurance companies from denying coverage because of a person's medical history?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=January 14-21, 2014&sample=1506&qstn_list=&qstnid=1845980&qa_list=&qstn_id4=1845980&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI126&keywordDisplay=",54,0,36,0,10,0,0,0,0,,2,N,N,Y,"1,506",telephone,,,L,TBYK,N,Don't know/Refused (10%); landline(753)/cellular(753)
71,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not・provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=January 14-21, 2014&sample=1506&qstn_list=&qstnid=1845982&qa_list=&qstn_id4=1845982&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI126&keywordDisplay=",63,0,29,0,9,0,0,0,0,,2,N,N,Y,"1,506",telephone,,,L,TBYK,N,Don't know/Refused (9%); landline(753)/cellular(753)
72,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,01/14-21/14,"(I'm going to read you a list of specific elements or parts of the (2010 health reform) law. For each, please tell me whether you think it is something the law does, or not.) First, to the best of your knowledge, would you say the health reform law does or does not・create health insurance exchanges or marketplaces where people who don't get coverage through their employers can shop for insurance and compare prices and benefits?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=January 14-21, 2014&sample=1506&qstn_list=&qstnid=1845983&qa_list=&qstn_id4=1845983&study_list=&lastSearchId=317673066318&archno=USPSRA2014-HNI126&keywordDisplay=",68,0,22,0,9,0,0,0,0,,2,N,N,Y,"1,506",telephone,,,L,TBYK,N,Don't know/Refused (9%); landline(753)/cellular(753)
73,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...prohibit insurance companies from denying coverage because of a person's medical history?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838840&qa_list=&qstn_id4=1838840&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",59,0,30,0,11,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (11%); landline(752)/cellular(751)
74,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...give states the option of expanding their existing Medicaid program to cover more low-income, uninsured adults?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838839&qa_list=&qstn_id4=1838839&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",58,0,24,0,18,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (18%); landline(752)/cellular(751)
75,Y,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...create a new government run insurance plan to be offered along with private plans?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838847&qa_list=&qstn_id4=1838847&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",52,0,32,0,16,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (16%); landline(752)/cellular(751)
76,Y,ACA Illegal Imm.,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...allow undocumented immigrants to receive financial help from the government to buy health insurance?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838846&qa_list=&qstn_id4=1838846&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",35,0,43,0,21,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (21%); landline(752)/cellular(751)
77,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...require nearly all Americans to have health insurance by 2014 or else pay a fine?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838838&qa_list=&qstn_id4=1838838&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",79,0,14,0,8,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (8%); landline(752)/cellular(751)
78,Y,ACA Death Panel,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...establish a government panel to make decisions about end-of-life care for people on Medicare?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838844&qa_list=&qstn_id4=1838844&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",38,0,42,0,20,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (20%); landline(752)/cellular(751)
79,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...gradually close the Medicare prescription drug 'doughnut hole' or 'coverage gap' so people on Medicare will no longer be required to pay the full cost of their medications when they reach the gap?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838843&qa_list=&qstn_id4=1838843&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",42,0,29,0,29,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (29%); landline(752)/cellular(751)
80,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...create health insurance exchanges or marketplaces where people who don't get coverage through their employers can shop for insurance and compare prices and benefits?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838842&qa_list=&qstn_id4=1838842&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",65,0,23,0,12,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (12%); landline(752)/cellular(751)
81,N,ACA,Princeton Survey Research Associates International,Kaiser Family Foundation,0,09/12-18/13,"(I'm going to read you a list of specific elements or parts of the law. For each, please tell me whether you think it is included in the (2010) health reform law, or not.) To the best of your knowledge, would you say the health reform law does or does not...provide financial help to low and moderate income Americans who don't get insurance through their jobs to help them purchase coverage?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=to AND  the AND  best AND  of AND  your knowledge AND  would AND  you AND  say AND  the AND  health AND  reform AND  law AND  does or does not gradually&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Henry J. Kaiser Family Foundation&studydate=September 12-18, 2013&sample=1503&qstn_list=&qstnid=1838841&qa_list=&qstn_id4=1838841&study_list=&lastSearchId=317673066318&archno=USPSRA2013-HNI122&keywordDisplay=",63,0,25,0,12,0,0,0,0,,2,N,N,Y,"1,503",telephone,,,L,TBYK,N,Don't know/Refused (12%); landline(752)/cellular(751)
